name,collection,material,pivot_x_mm,pivot_y_mm,pivot_z_mm,axis_x,axis_y,axis_z,spin,role,cyl,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm
bedplate,01 Block,alu_cast,,,,,,,,,,3880,4398,-231.8,231.8,-94.2,94.2,-118.0,-9.6
block_bank_l,01 Block,alu_cast,,,,,,,,,,6040,6018,-241.1,222.1,-126.2,133.5,-24.2,126.2
block_bank_r,01 Block,alu_cast,,,,,,,,,,6040,6018,-222.1,241.1,-122.2,126.2,-12.9,133.5
block_crankcase,01 Block,alu_cast,,,,,,,,,,1100,948,-231.6,231.6,-101.1,101.1,-96.0,28.0
block_liners,01 Block,alu_cast,,,,,,,,,,21536,21536,-210.0,210.0,-123.7,123.7,10.3,123.7
gallery_plugs,07 Drive and Ancillaries,steel_nitrided,,,,,,,,,,1032,1260,-201.3,201.3,-109.5,109.5,-42.0,-37.0
mount_bosses,07 Drive and Ancillaries,alu_cast,,,,,,,,,,792,936,-184.9,184.9,-114.5,114.5,-30.0,72.0
sump,01 Block,magnesium,,,,,,,,,,840,802,-196.0,196.0,-92.1,92.1,-179.8,-118.0
sump_baffles,01 Block,alu_forged,,,,,,,,,,784,680,-149.5,149.5,-67.7,67.7,-161.1,-127.0
sump_drain,01 Block,steel_nitrided,,,,,,,,,,372,444,57.6,83.5,-13.0,13.0,-190.5,-177.5
water_outlets,07 Drive and Ancillaries,alu_cast,,,,,,,,,,2976,3552,-190.5,190.5,-118.0,118.0,22.0,40.0
windage_tray,01 Block,steel_nitrided,,,,,,,,,,3378,3518,-152.0,152.0,-74.0,74.0,-102.0,-64.5
conrod_1,02 Bottom End,titanium,-162.5,-53.25,53.25,1.0,0.0,0.0,1.0,rod,1,1620,1596,-172.0,-153.0,-54.2,51.6,-21.8,54.2
conrod_2,02 Bottom End,titanium,-143.5,75.43,75.43,1.0,0.0,0.0,1.0,rod,2,1620,1596,-153.0,-134.0,-10.4,76.3,-21.8,76.3
conrod_3,02 Bottom End,titanium,-60.5,-64.68,64.68,1.0,0.0,0.0,1.0,rod,3,1620,1596,-70.0,-51.0,-65.6,10.4,-40.2,65.6
conrod_4,02 Bottom End,titanium,-41.5,45.66,45.66,1.0,0.0,0.0,1.0,rod,4,1620,1596,-51.0,-32.0,-51.6,46.6,-40.2,46.6
conrod_5,02 Bottom End,titanium,41.5,-64.68,64.68,1.0,0.0,0.0,1.0,rod,5,1620,1596,32.0,51.0,-65.6,10.4,-40.2,65.6
conrod_6,02 Bottom End,titanium,60.5,45.66,45.66,1.0,0.0,0.0,1.0,rod,6,1620,1596,51.0,70.0,-51.6,46.6,-40.2,46.6
conrod_7,02 Bottom End,titanium,143.5,-53.25,53.25,1.0,0.0,0.0,1.0,rod,7,1620,1596,134.0,153.0,-54.2,51.6,-21.8,54.2
conrod_8,02 Bottom End,titanium,162.5,75.43,75.43,1.0,0.0,0.0,1.0,rod,8,1620,1596,153.0,172.0,-10.4,76.3,-21.8,76.3
crank_damper,02 Bottom End,steel_nitrided,,,,,,,,,,3087,3141,-350.0,-312.0,-99.4,99.5,-99.5,99.5
crank_trigger,02 Bottom End,steel_nitrided,,,,,,,,,,3134,2996,-313.0,-287.0,-44.6,44.6,-43.1,101.0
crankshaft,02 Bottom End,steel_nitrided,0.0,0.0,0.0,1.0,0.0,0.0,1.0,crank,,51148,51148,-340.0,229.0,-62.0,62.0,-62.0,62.0
gudgeon_pin_1,02 Bottom End,steel_nitrided,-162.5,-53.25,53.25,1.0,0.0,0.0,1.0,slider,1,1036,1036,-175.5,-149.5,-49.7,-30.7,30.7,49.7
gudgeon_pin_2,02 Bottom End,steel_nitrided,-143.5,75.43,75.43,1.0,0.0,0.0,1.0,slider,2,1036,1036,-156.5,-130.5,52.8,71.8,52.8,71.8
gudgeon_pin_3,02 Bottom End,steel_nitrided,-60.5,-64.68,64.68,1.0,0.0,0.0,1.0,slider,3,1036,1036,-73.5,-47.5,-61.1,-42.1,42.1,61.1
gudgeon_pin_4,02 Bottom End,steel_nitrided,-41.5,45.66,45.66,1.0,0.0,0.0,1.0,slider,4,1036,1036,-54.5,-28.5,23.1,42.1,23.1,42.1
gudgeon_pin_5,02 Bottom End,steel_nitrided,41.5,-64.68,64.68,1.0,0.0,0.0,1.0,slider,5,1036,1036,28.5,54.5,-61.1,-42.1,42.1,61.1
gudgeon_pin_6,02 Bottom End,steel_nitrided,60.5,45.66,45.66,1.0,0.0,0.0,1.0,slider,6,1036,1036,47.5,73.5,23.1,42.1,23.1,42.1
gudgeon_pin_7,02 Bottom End,steel_nitrided,143.5,-53.25,53.25,1.0,0.0,0.0,1.0,slider,7,1036,1036,130.5,156.5,-49.7,-30.7,30.7,49.7
gudgeon_pin_8,02 Bottom End,steel_nitrided,162.5,75.43,75.43,1.0,0.0,0.0,1.0,slider,8,1036,1036,149.5,175.5,52.8,71.8,52.8,71.8
main_cap_bolts,02 Bottom End,titanium,,,,,,,,,,2240,2240,-219.5,219.5,-53.5,53.5,-84.0,-4.0
piston_1,02 Bottom End,alu_forged,-162.5,-53.25,53.25,1.0,0.0,0.0,1.0,slider,1,2032,2032,-204.1,-120.9,-82.7,-11.1,11.1,82.7
piston_2,02 Bottom End,alu_forged,-143.5,75.43,75.43,1.0,0.0,0.0,1.0,slider,2,2032,2032,-185.1,-101.9,33.2,104.9,33.2,104.9
piston_3,02 Bottom End,alu_forged,-60.5,-64.68,64.68,1.0,0.0,0.0,1.0,slider,3,2032,2032,-102.1,-18.9,-94.1,-22.5,22.5,94.1
piston_4,02 Bottom End,alu_forged,-41.5,45.66,45.66,1.0,0.0,0.0,1.0,slider,4,2032,2032,-83.1,0.1,3.5,75.1,3.5,75.1
piston_5,02 Bottom End,alu_forged,41.5,-64.68,64.68,1.0,0.0,0.0,1.0,slider,5,2032,2032,-0.1,83.1,-94.1,-22.5,22.5,94.1
piston_6,02 Bottom End,alu_forged,60.5,45.66,45.66,1.0,0.0,0.0,1.0,slider,6,2032,2032,18.9,102.1,3.5,75.1,3.5,75.1
piston_7,02 Bottom End,alu_forged,143.5,-53.25,53.25,1.0,0.0,0.0,1.0,slider,7,2032,2032,101.9,185.1,-82.7,-11.1,11.1,82.7
piston_8,02 Bottom End,alu_forged,162.5,75.43,75.43,1.0,0.0,0.0,1.0,slider,8,2032,2032,120.9,204.1,33.2,104.9,33.2,104.9
ring_oil_1,02 Bottom End,steel_nitrided,,,,,,,,,,889,889,-203.5,-121.5,-76.7,-17.0,17.0,76.8
ring_oil_2,02 Bottom End,steel_nitrided,,,,,,,,,,889,889,-184.5,-102.5,39.2,98.9,39.2,98.9
ring_oil_3,02 Bottom End,steel_nitrided,,,,,,,,,,889,889,-101.5,-19.5,-88.2,-28.4,28.4,88.2
ring_oil_4,02 Bottom End,steel_nitrided,,,,,,,,,,889,889,-82.5,-0.5,9.4,69.2,9.4,69.2
ring_oil_5,02 Bottom End,steel_nitrided,,,,,,,,,,889,889,0.5,82.5,-88.2,-28.4,28.4,88.2
ring_oil_6,02 Bottom End,steel_nitrided,,,,,,,,,,889,889,19.5,101.5,9.4,69.2,9.4,69.2
ring_oil_7,02 Bottom End,steel_nitrided,,,,,,,,,,889,889,102.5,184.5,-76.7,-17.0,17.0,76.8
ring_oil_8,02 Bottom End,steel_nitrided,,,,,,,,,,889,889,121.5,203.5,39.2,98.9,39.2,98.9
ring_second_1,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,-203.6,-121.4,-79.1,-19.7,19.7,79.1
ring_second_2,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,-184.6,-102.4,41.9,101.3,41.9,101.3
ring_second_3,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,-101.6,-19.4,-90.5,-31.2,31.2,90.6
ring_second_4,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,-82.6,-0.4,12.1,71.5,12.1,71.5
ring_second_5,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,0.4,82.6,-90.5,-31.2,31.2,90.6
ring_second_6,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,19.4,101.6,12.1,71.5,12.1,71.5
ring_second_7,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,102.4,184.6,-79.1,-19.7,19.7,79.1
ring_second_8,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,121.4,203.6,41.9,101.3,41.9,101.3
ring_top_1,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,-203.7,-121.3,-81.4,-22.0,22.0,81.4
ring_top_2,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,-184.7,-102.3,44.2,103.6,44.2,103.6
ring_top_3,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,-101.7,-19.3,-92.8,-33.4,33.4,92.8
ring_top_4,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,-82.7,-0.3,14.4,73.8,14.4,73.8
ring_top_5,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,0.3,82.7,-92.8,-33.4,33.4,92.8
ring_top_6,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,19.3,101.7,14.4,73.8,14.4,73.8
ring_top_7,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,102.3,184.7,-81.4,-22.0,22.0,81.4
ring_top_8,02 Bottom End,steel_nitrided,,,,,,,,,,762,762,121.3,203.7,44.2,103.6,44.2,103.6
rod_cap_1,02 Bottom End,titanium,-162.5,-53.25,53.25,1.0,0.0,0.0,1.0,rod,1,1340,1474,-172.0,-153.0,-10.4,51.6,-21.8,40.2
rod_cap_2,02 Bottom End,titanium,-143.5,75.43,75.43,1.0,0.0,0.0,1.0,rod,2,1340,1474,-153.0,-134.0,-10.4,51.6,-21.8,40.2
rod_cap_3,02 Bottom End,titanium,-60.5,-64.68,64.68,1.0,0.0,0.0,1.0,rod,3,1340,1474,-70.0,-51.0,-51.6,10.4,-40.2,21.8
rod_cap_4,02 Bottom End,titanium,-41.5,45.66,45.66,1.0,0.0,0.0,1.0,rod,4,1340,1474,-51.0,-32.0,-51.6,10.4,-40.2,21.8
rod_cap_5,02 Bottom End,titanium,41.5,-64.68,64.68,1.0,0.0,0.0,1.0,rod,5,1340,1474,32.0,51.0,-51.6,10.4,-40.2,21.8
rod_cap_6,02 Bottom End,titanium,60.5,45.66,45.66,1.0,0.0,0.0,1.0,rod,6,1340,1474,51.0,70.0,-51.6,10.4,-40.2,21.8
rod_cap_7,02 Bottom End,titanium,143.5,-53.25,53.25,1.0,0.0,0.0,1.0,rod,7,1340,1474,134.0,153.0,-10.4,51.6,-21.8,40.2
rod_cap_8,02 Bottom End,titanium,162.5,75.43,75.43,1.0,0.0,0.0,1.0,rod,8,1340,1474,153.0,172.0,-10.4,51.6,-21.8,40.2
cam_journals_l_ex,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,3136,3136,-188.9,124.8,-112.9,-82.9,138.1,168.1
cam_journals_l_in,03 Heads and Valvetrain,steel_nitrided,,,,,,,,,,3136,3136,-188.9,124.8,-168.1,-138.1,82.9,112.9
